# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10282
#@/user_id	713eb3a7-a407-4821-ba6a-356b9c53ef46
a 	啊	c=44 d=2.14059 t=10094
yin hang 	銀行	c=1 d=1 t=8736
yin pin 	音頻	c=2 d=1.90937 t=10206
yin su 	因素	c=1 d=1 t=9185
yin wei 	因爲	c=18 d=1.00011 t=10147
yin yong 	引用	c=11 d=1.00013 t=9684
yin you 	音遊	c=4 d=1.0559 t=6657
yin yue 	音樂	c=1 d=1 t=10202
yin zi 	引子	c=1 d=1 t=7543
ying 	英	c=1 d=1 t=8880
ying 	鷹	c=1 d=1 t=6180
ying gai 	應該	c=21 d=1.35401 t=9202
ying le 	贏了	c=1 d=1 t=6809
ying li 	盈利	c=4 d=2.97059 t=5491
ying pan 	硬盤	c=10 d=1 t=6668
ying she 	映射	c=3 d=2.19799 t=2368
ying wen 	英文	c=1 d=1 t=7096
ying xiang 	影響	c=4 d=2.75815 t=8572
ying yong 	應用	c=6 d=2.6483 t=3226
ying yu 	英語	c=4 d=1.00006 t=2908
yong 	用	c=48 d=2.53502 t=10224
yong ai fa dian 	用愛發電	c=1 d=1 t=8378
yong bu 	永不	c=0 d=0.1 t=5966
yong bu dao 	用不到	c=1 d=1 t=1460
yong bu wei nu 	永不爲奴	c=1 d=1 t=5967
yong heng 	永恆	c=1 d=1 t=6871
yong hu 	用戶	c=22 d=1.65377 t=8814
yong zuo 	用作	c=1 d=1 t=6955
you 	又	c=3 d=1 t=7344
you 	右	c=2 d=1.00737 t=4832
you 	有	c=98 d=2.27778 t=10166
you 	油	c=1 d=1 t=846
you 	由	c=3 d=1.91443 t=8629
you ceng 	油層	c=0 d=0.1 t=6692
you chang 	又長	c=1 d=1 t=7343
you de 	有的	c=1 d=1 t=9885
you dian 	有點	c=3 d=1.00003 t=9394
you hua 	優化	c=2 d=1 t=8769
you ji wu 	有機物	c=2 d=1.74826 t=7633
you jian 	右鍵	c=1 d=1 t=8626
you jian 	郵件	c=2 d=1.92774 t=409
you lai 	由來	c=1 d=1 t=7979
you mei you 	有沒有	c=2 d=1 t=7099
you ming 	有名	c=1 d=1 t=9442
you qu 	有趣	c=4 d=1.00598 t=10115
you ren 	有人	c=5 d=1 t=8899
you shi 	有時	c=6 d=1.00038 t=8272
you shou 	右手	c=1 d=1 t=3113
you wu 	有無	c=1 d=1 t=9471
you xi 	遊戲	c=16 d=1.98516 t=8804
you xia jiao 	右下角	c=1 d=1 t=5916
you xian 	優先	c=2 d=1.20291 t=8384
you xian 	有線	c=2 d=1.02149 t=3178
you xian 	有限	c=1 d=1 t=8420
you xiang 	郵箱	c=1 d=1 t=5371
you xiu 	優秀	c=2 d=1 t=5358
you yi 	有一	c=0 d=0.1 t=5337
you yi shuo yi 	有一說一	c=1 d=1 t=5338
you yi si 	有意思	c=1 d=1 t=6766
you yong 	游泳	c=3 d=2.63846 t=7066
yu 	於	c=3 d=1 t=10141
yu 	與	c=22 d=1.00077 t=9736
yu 	雨	c=1 d=1 t=8375
yu 	預	c=1 d=1 t=4943
yu bi 	育碧	c=1 d=1 t=6044
yu dao 	遇到	c=3 d=1 t=5854
yu shi 	於是	c=5 d=1.20946 t=737
yu shi ne 	於是呢	c=1 d=1 t=209
yu suan 	預算	c=1 d=1 t=5667
yu wen 	語文	c=1 d=1 t=538
yu yan 	語言	c=5 d=1.8781 t=8274
yu yan jia 	預言家	c=1 d=1 t=9530
yu yin 	語音	c=2 d=1 t=6175
yuan 	元	c=1 d=1.00061 t=6197
yuan 	原	c=12 d=1.00006 t=9829
yuan 	源	c=8 d=2.26667 t=8942
yuan cheng 	遠程	c=2 d=1.99501 t=6257
yuan lai 	原來	c=3 d=1 t=6772
yuan liao 	原料	c=1 d=1 t=7730
yuan sheng 	原生	c=2 d=1 t=8097
yuan shi 	原始	c=1 d=1 t=669
yuan su 	元素	c=9 d=7.49928 t=9951
yuan tai 	源臺	c=1 d=1 t=8954
yuan xing 	原型	c=1 d=1 t=4481
yuan yin 	原因	c=3 d=1.00006 t=7049
yuan you 	原有	c=1 d=1 t=9585
yuan zhuang 	原裝	c=1 d=1 t=5710
yue 	月	c=4 d=1 t=7267
yue 	越	c=9 d=2.26774 t=5634
yue ka 	月卡	c=2 d=1.97045 t=6207
yue lai yue 	越來越	c=2 d=1.60351 t=7276
yue pin 	粵拼	c=1 d=1 t=6084
yun qi 	運氣	c=1 d=0.1 t=9274
yun qi hao 	運氣好	c=1 d=1 t=9275
yun shu 	運輸	c=1 d=1 t=1372
yun suan 	運算	c=4 d=3.20192 t=8240
yun suan fu 	運算符	c=1 d=1 t=6491
yun xing 	運行	c=5 d=1 t=7114
yun xing shi 	運行時	c=1 d=1 t=5443
yun xu 	允許	c=4 d=1.98185 t=5494
yun yong 	運用	c=1 d=1 t=7541
za qi za ba 	雜七雜八	c=1 d=1 t=2927
zai 	仔	c=2 d=1.98511 t=6064
zai 	再	c=5 d=1.00006 t=5880
zai 	哉	c=0 d=0.1 t=6007
zai 	在	c=50 d=1.51368 t=9744
zai ma 	在嗎	c=1 d=1 t=8000
zan ting 	暫停	c=1 d=1 t=6672
zao 	早	c=1 d=1 t=959
zao 	澡	c=1 d=1 t=5137
zao dian 	早點	c=1 d=1 t=286
zao qi 	早期	c=2 d=1 t=10161
ze 	則	c=3 d=2.03667 t=7526
zen me 	怎麼	c=14 d=1.60624 t=9380
zen me ban 	怎麼辦	c=1 d=1 t=6867
zen me gao 	怎麼搞	c=2 d=1 t=6458
zen me kan 	怎麼看	c=1 d=1 t=3219
zen me la 	怎麼啦	c=1 d=1 t=4028
zen me lai 	怎麼來	c=1 d=1 t=3977
zen me le 	怎麼了	c=1 d=1 t=5861
zen me yang 	怎麼樣	c=4 d=1 t=6964
zen me yong 	怎麼用	c=1 d=1 t=8303
zeng 	增	c=1 d=1 t=2994
zeng jia 	增加	c=1 d=1 t=2979
zeng zhang 	增長	c=1 d=1 t=2981
zha yao 	炸藥	c=1 d=1 t=2732
zhan 	佔	c=1 d=1 t=4164
zhan 	戰	c=0 d=0.1 t=6260
zhan 	斬	c=1 d=1 t=6627
zhan 	棧	c=12 d=8.71655 t=9969
zhan 	站	c=15 d=1.96087 t=10210
zhan ding 	棧頂	c=3 d=2.97516 t=9909
zhan kai 	展開	c=1 d=1 t=156
zhan qi lai 	站起來	c=1 d=1 t=4275
zhan shi 	展示	c=2 d=1.01822 t=4013
zhan wei sang shi 	戰維喪失	c=1 d=1 t=6261
zhan yong 	佔用	c=3 d=1 t=8167
zhang 	張	c=2 d=1.00001 t=3840
zhang 	章	c=1 d=1 t=6265
zhang 	長	c=2 d=1.89137 t=1376
zhang hao 	帳號	c=2 d=1.23693 t=389
zhao 	兆	c=2 d=1.96561 t=2822
zhao 	找	c=5 d=1 t=9575
zhao 	照	c=1 d=1 t=4781
zhao bu dao 	找不到	c=7 d=1.00503 t=9774
zhao dao 	找到	c=5 d=2.82501 t=9743
zhao hui 	找回	c=1 d=1 t=4464
zhao yang 	照樣	c=1 d=1 t=4090
zhao zu 	招租	c=1 d=1 t=3002
zhao zuo 	照做	c=1 d=1 t=5828
zhe 	着	c=3 d=1 t=9524
zhe 	者	c=3 d=1.98021 t=8852
zhe 	這	c=65 d=1.30725 t=10002
zhe ci 	這次	c=4 d=1.99426 t=9387
zhe dian 	這點	c=1 d=1 t=5930
zhe fang mian 	這方面	c=1 d=1 t=2895
zhe ge 	這個	c=23 d=1.67638 t=9315
zhe ji ge 	這幾個	c=1 d=1 t=1054
zhe ji tian 	這幾天	c=4 d=1 t=10271
zhe li 	這裏	c=1 d=1 t=6775
zhe me 	這麼	c=7 d=1.02916 t=8950
zhe me da 	這麼大	c=1 d=1 t=4105
zhe me duo 	這麼多	c=1 d=1 t=2955
zhe me jiu 	這麼久	c=2 d=1 t=6391
zhe mo 	折磨	c=1 d=1 t=125
zhe shi 	這是	c=9 d=1.02801 t=9975
zhe shi hou 	這時候	c=1 d=1 t=3273
zhe teng 	折騰	c=3 d=1.40657 t=8713
zhe xie 	這些	c=4 d=1.01139 t=8556
zhe yang 	這樣	c=8 d=1.00243 t=10152
zhe zhong 	這種	c=5 d=1.33287 t=9150
zhe zhu 	遮住	c=1 d=1 t=2153
zhen 	幀	c=3 d=1 t=6653
zhen 	真	c=7 d=1 t=7364
zhen 	針	c=3 d=1.47851 t=3172
zhen de 	真的	c=30 d=2.22074 t=9344
zhen dui 	針對	c=2 d=1 t=7738
zhen jun 	真菌	c=1 d=1 t=7583
zhen kong 	真空	c=4 d=2.64385 t=7721
zhen kui 	真虧	c=1 d=1 t=9016
zhen shi 	真實	c=3 d=1.11248 t=6671
zhen shi 	真是	c=2 d=1.17996 t=1489
zhen shu 	幀數	c=2 d=1.00015 t=8425
zhen suo 	診所	c=1 d=1 t=9488
zhen zheng 	真正	c=0 d=0.1 t=1505
zhen zheng de 	真正的	c=1 d=1 t=1506
zheng 	整	c=5 d=1.00152 t=9445
zheng 	正	c=1 d=1 t=6836
zheng 	鄭	c=1 d=1 t=6089
zheng chang 	正常	c=2 d=1.00036 t=1628
zheng fan 	正反	c=2 d=1.16613 t=5921
zheng ge 	整個	c=5 d=2.81076 t=9968
zheng hao 	正好	c=2 d=1 t=9074
zheng he 	整合	c=1 d=1 t=9055
zheng li 	整理	c=1 d=1 t=1778
zheng que 	正確	c=3 d=1 t=9432
zheng tian 	整天	c=1 d=1 t=591
zheng tiao 	整條	c=1 d=1 t=4770
zheng wen 	正文	c=2 d=1.62814 t=7544
zheng ze 	正則	c=2 d=1.09501 t=5052
zheng ze biao da shi 	正則表達式	c=7 d=2.51416 t=5732
zhi 	之	c=7 d=1.16155 t=9475
zhi 	值	c=6 d=1.97885 t=9809
zhi 	只	c=8 d=1.14098 t=9335
zhi 	指	c=2 d=1 t=10198
zhi 	至	c=2 d=1.94176 t=2212
zhi 	製	c=1 d=1 t=9272
zhi bo 	直播	c=1 d=1 t=765
zhi chi 	支持	c=4 d=1 t=8098
zhi dao 	直到	c=5 d=1 t=9063
zhi dao 	知道	c=6 d=1.22782 t=6584
zhi ding 	指定	c=4 d=1 t=8498
zhi du 	只讀	c=1 d=1 t=4225
zhi fu bao 	支付寶	c=2 d=1.98511 t=4044
zhi guan 	直觀	c=1 d=1 t=6499
zhi hou 	之後	c=1 d=1 t=271
zhi hui 	只會	c=1 d=1 t=2786
zhi jian 	之間	c=1 d=1 t=10043
zhi jiao 	指教	c=1 d=1 t=7025
zhi jie 	直接	c=29 d=2.02737 t=10240
zhi lei 	之類	c=3 d=1.00069 t=8059
zhi liang 	質量	c=2 d=1 t=6270
zhi ling 	指令	c=13 d=1.7293 t=5744
zhi neng 	只能	c=9 d=1.13856 t=9167
zhi qian 	之前	c=7 d=1.0153 t=8821
zhi shao 	至少	c=1 d=1 t=7682
zhi shi 	之時	c=3 d=1.05695 t=9979
zhi shi 	只是	c=5 d=1.0053 t=8582
zhi tiao 	紙條	c=2 d=1.97045 t=1407
zhi xing 	執行	c=7 d=1.0049 t=4688
zhi xu 	只需	c=1 d=1 t=7670
zhi yao 	只要	c=2 d=1 t=8831
zhi yi 	之一	c=1 d=1 t=2951
zhi you 	只有	c=4 d=1.0184 t=9662
zhi ze 	職責	c=1 d=1 t=1357
zhi zhen 	指針	c=2 d=1.83527 t=4528
zhi zuo 	製作	c=1 d=1 t=7704
zhong 	中	c=26 d=2.26537 t=10098
zhong 	種	c=4 d=1.00309 t=3777
zhong 	重	c=1 d=1 t=3605
zhong du 	中毒	c=1 d=1 t=7853
zhong duan 	終端	c=50 d=1 t=8625
zhong duo 	衆多	c=1 d=1 t=1925
zhong er 	中二	c=1 d=1 t=6741
zhong guo 	中國	c=1 d=1 t=8735
zhong jie 	終結	c=1 d=1 t=5203
zhong liang 	重量	c=1 d=1 t=4984
zhong shi 	重視	c=1 d=1 t=1625
zhong suo zhou zhi 	衆所周知	c=1 d=1 t=5947
zhong wen 	中文	c=7 d=1.84366 t=8621
zhong wu 	中午	c=1 d=1 t=6232
zhong xu 	中續	c=1 d=1 t=5834
zhong xue 	中學	c=1 d=1 t=6110
zhong yang 	中央	c=2 d=1.01089 t=6147
zhong yu 	終於	c=5 d=1.00957 t=9478
zhong zhou xian 	中軸線	c=1 d=1 t=5245
zhong zi 	種子	c=5 d=1.00084 t=9349
zhou 	舟	c=1 d=1 t=5911
zhou 	軸	c=1 d=1 t=7993
zhou bo 	咒波	c=1 d=1 t=6641
zhou liu 	週六	c=1 d=1 t=3691
zhou mo 	週末	c=1 d=1 t=5166
zhu ban 	主板	c=5 d=1.92312 t=9165
zhu dong 	主動	c=1 d=1 t=4338
zhu jian 	逐漸	c=1 d=1 t=7192
zhu jue 	主角	c=1 d=1 t=10079
zhu ming 	註明	c=1 d=1 t=7872
zhu shi 	註釋	c=2 d=1.36422 t=5233
zhu ti 	主題	c=3 d=1 t=10126
zhu ti 	主體	c=1 d=1 t=10117
zhu yao 	主要	c=4 d=1.74933 t=10215
zhu yi 	注意	c=3 d=1 t=6380
zhu yi 	註譯	c=1 d=1 t=8310
zhu zuo 	著作	c=1 d=1 t=5535
zhuan 	磚	c=1 d=1 t=7262
zhuan 	轉	c=13 d=2.94765 t=10244
zhuan bian 	轉變	c=1 d=1 t=7598
zhuan fa 	轉發	c=1 d=1 t=6948
zhuan huan 	轉換	c=4 d=1 t=9590
zhuan men 	專門	c=1 d=1 t=866
zhuan wei 	轉爲	c=2 d=1.00001 t=8178
zhuang 	裝	c=7 d=1.24019 t=3714
zhuang shi pin 	裝飾品	c=1 d=1 t=1436
zhuang tai 	狀態	c=4 d=2.05477 t=2594
zhui 	追	c=1 d=1 t=6374
zhun bei 	準備	c=3 d=1 t=8177
zhuo mi cang 	捉迷藏	c=1 d=1 t=9326
zhuo mian 	桌面	c=3 d=1.00003 t=9419
zhuo zhong 	着重	c=1 d=1 t=10140
zi 	子	c=3 d=1.44171 t=4965
zi 	字	c=3 d=1.00237 t=7917
zi 	自	c=2 d=1 t=9828
zi bi 	自閉	c=1 d=1 t=6639
zi dai 	自帶	c=5 d=1 t=4997
zi dan 	子彈	c=2 d=1.6157 t=3825
zi ding yi 	自定義	c=4 d=1 t=6556
zi dong 	自動	c=19 d=1.00375 t=8237
zi fu chuan 	字符串	c=2 d=1.0015 t=5037
zi ji 	自己	c=19 d=1.05385 t=9953
zi ji 	自機	c=1 d=1 t=3804
zi lai shui 	自來水	c=1 d=1 t=6696
zi mian 	字面	c=1 d=1 t=7068
zi mian yi si 	字面意思	c=1 d=1 t=4247
zi mu 	字幕	c=5 d=1.03565 t=8798
zi mu 	字母	c=2 d=1 t=8550
zi ran 	自然	c=1 d=1 t=8815
zi ren wei 	自認爲	c=1 d=1 t=4386
zi shi 	姿勢	c=1 d=1 t=8677
zi ti 	字體	c=9 d=2.06171 t=2528
zi xing 	自行	c=1 d=1 t=8588
zi xue 	自學	c=2 d=1.91393 t=8376
zi xun 	資訊	c=10 d=7.95491 t=6226
zi you 	自由	c=1 d=1 t=5528
zi zeng 	自增	c=1 d=1 t=5725
zi zhi 	自治	c=1 d=1 t=9270
zi zhi 	自製	c=1 d=1 t=6566
zong 	總	c=3 d=1 t=10108
zong de lai shuo 	總的來說	c=1 d=1 t=9985
zong zhi 	總之	c=8 d=1.51386 t=10254
zou 	走	c=1 d=1 t=9058
zu 	組	c=3 d=1.00014 t=6130
zu gou 	足夠	c=3 d=2.38528 t=7699
zu yi 	足矣	c=1 d=1 t=1464
zu zhi 	阻止	c=1 d=1 t=2467
zui 	最	c=6 d=1.75957 t=8447
zui cha 	最差	c=1 d=1 t=5964
zui da 	最大	c=4 d=1 t=8327
zui hao 	最好	c=4 d=1 t=9854
zui hou 	最後	c=3 d=1.38289 t=4495
zui jin 	最近	c=5 d=1.91394 t=8974
zui mei 	最美	c=1 d=1 t=6317
zui xiao 	最小	c=5 d=3.69353 t=9944
zui xiao zhi 	最小值	c=1 d=1 t=9905
zui zao 	最早	c=1 d=1 t=9308
zui zhong 	最終	c=1 d=1 t=3522
zuo 	作	c=7 d=1.63734 t=8268
zuo 	做	c=7 d=1.03595 t=6495
zuo 	左	c=1 d=1 t=5295
zuo 	座	c=3 d=2.24929 t=6339
zuo chu 	作出	c=1 d=1 t=7184
zuo dao 	做到	c=1 d=1 t=8407
zuo de dao 	做得到	c=1 d=1 t=10054
zuo deng 	坐等	c=1 d=1 t=9510
zuo hao 	做好	c=1 d=1 t=4785
zuo pin 	作品	c=1 d=1 t=10051
zuo tian 	昨天	c=2 d=1 t=8379
zuo wei 	作爲	c=6 d=1 t=9939
zuo yong 	作用	c=1 d=1 t=5649
zuo you 	左右	c=1 d=1 t=3785
zuo zhe 	作者	c=6 d=1.00559 t=8697
